release,fitness,c1,c2,d1,d2,d3,n1,n2,n3,n4,n5,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
mockito-0.9/run.0,0.37792704,10,10,30, inf,0.90,5,200,0.30, blind, expression , false, true, true, true, true, true, false, false, false, true, true, true, false, true,5
mockito-0.9/run.1,0.37792704,10,10,30, inf,0.90,5,1000,0.30, blind, expression , false, true, false, true, true, false, true, true, false, true, true, true, false, false,5
mockito-0.9/run.10,0.37792704,10,10,30, inf,0.90,5,100,0.30, blind, expression , false, true, true, true, false, false, false, true, false, true, true, true, false, false,5
mockito-0.9/run.11,0.37792704,10,10,30, inf,0.90,5,1000,0.30, blind, expression , false, true, true, true, false, true, false, true, false, true, true, true, false, true,5
mockito-0.9/run.12,0.37792704,10,10,30, inf,0.90,5,1000,0.30, blind, expression , false, true, false, true, false, true, false, true, false, true, true, false, false, true,5
mockito-0.9/run.13,0.37792704,10,10,30, inf,0.90,5,400,0.30, blind, expression , false, true, false, true, false, false, true, false, false, false, true, true, false, true,5
mockito-0.9/run.14,0.37792704,10,10,30, inf,0.90,5,1000,0.30, blind, expression , false, true, false, true, false, false, false, true, false, false, true, true, false, true,5
mockito-0.9/run.15,0.37792704,10,10,30, inf,0.90,5,1000,0.30, blind, expression , false, true, true, true, false, true, true, true, false, false, true, true, false, false,5
mockito-0.9/run.16,0.37792704,10,10,30, inf,0.90,5,600,0.30, blind, expression , false, true, false, true, true, false, false, false, false, true, true, true, false, true,5
mockito-0.9/run.17,0.37792704,10,10,30, inf,0.90,5,400,0.30, blind, expression , false, true, false, true, true, true, true, false, false, false, true, false, false, false,5
mockito-0.9/run.18,0.37792704,10,10,30, inf,0.90,5,600,0.30, blind, expression , false, true, false, true, false, false, false, true, false, false, true, true, false, true,5
mockito-0.9/run.19,0.37792704,10,10,30, inf,0.90,5,400,0.30, blind, expression , false, true, true, true, false, false, true, true, false, false, true, false, false, true,5
mockito-0.9/run.2,0.37792704,10,10,30, inf,0.90,5,100,0.30, blind, expression , false, true, false, true, true, false, true, false, false, false, true, true, false, true,5
mockito-0.9/run.3,0.37792704,10,10,30, inf,0.90,5,400,0.30, blind, expression , false, true, true, true, true, true, true, true, false, true, true, true, false, true,5
mockito-0.9/run.4,0.37792704,10,10,30, inf,0.90,5,600,0.30, blind, expression , false, true, false, true, true, true, true, true, false, true, true, true, false, false,5
mockito-0.9/run.5,0.37792704,10,10,30, inf,0.90,5,200,0.30, blind, expression , false, true, false, true, false, false, true, true, false, false, true, false, false, true,5
mockito-0.9/run.6,0.37792704,10,10,30, inf,0.90,5,600,0.30, blind, expression , false, true, true, true, true, true, false, false, false, true, true, false, false, true,5
mockito-0.9/run.7,0.37792704,10,10,30, inf,0.90,5,800,0.30, blind, expression , false, true, true, true, false, false, true, false, false, false, true, false, false, true,5
mockito-0.9/run.8,0.37792704,10,10,30, inf,0.90,5,100,0.30, blind, expression , false, true, true, true, false, true, false, true, false, false, true, true, false, false,5
mockito-0.9/run.9,0.37792704,10,10,30, inf,0.90,5,800,0.30, blind, expression , false, true, true, true, false, false, true, true, false, true, true, false, false, false,5
mockito-1.0/run.0,0.489098837,60,20,50,8,1.00,7,1000,0.10, none, none , false, false, true, false, false, false, false, false, false, false, false, false, true, false,6
mockito-1.0/run.1,0.489098837,80,18,50,8,1.00,6,1000,0.10, none, none , false, false, false, false, true, true, false, false, false, false, true, false, true, false,6
mockito-1.0/run.11,0.489098837,70,18,50,8,1.00,6,800,0.00, none, literal , false, false, true, false, true, false, true, true, false, false, false, false, true, true,6
mockito-1.0/run.12,0.489098837,20,20,50,8,1.00,6,600,0.00, none, literal , false, false, false, false, false, true, true, true, false, false, false, false, true, true,6
mockito-1.0/run.13,0.489098837,70,18,50,8,1.00,5,800,0.00, none, literal , false, false, false, false, true, true, false, false, false, false, false, false, true, true,6
mockito-1.0/run.14,0.489098837,80,17,50,8,1.00,5,800,0.10, none, none , false, false, false, false, true, true, false, true, false, false, true, false, true, true,6
mockito-1.0/run.16,0.489098837,80,20,50,8,1.00,6,800,0.10, none, condition , false, false, false, false, false, false, false, false, false, false, true, false, true, false,6
mockito-1.0/run.17,0.489098837,70,18,50,8,1.00,6,100,0.10, none, none , false, false, false, false, true, true, false, true, false, false, false, false, true, true,6
mockito-1.0/run.18,0.489098837,70,16,50,8,1.00,7,100,0.00, none, literal , false, false, false, false, true, false, false, false, false, false, true, false, true, false,6
mockito-1.0/run.19,0.489098837,80,18,50,8,1.00,7,100,0.10, none, none , false, false, false, false, true, true, false, true, false, false, false, false, true, true,6
mockito-1.0/run.2,0.489098837,60,20,50,8,1.00,5,400,0.10, none, literal , false, false, true, false, true, false, true, false, false, false, false, false, true, true,6
mockito-1.0/run.3,0.489098837,110,20,50,8,1.00,6,1000,0.10, none, none , false, false, false, false, false, false, true, true, false, false, true, false, true, true,6
mockito-1.0/run.6,0.489098837,40,20,50,8,1.00,6,200,0.10, none, condition , false, false, false, false, false, false, false, true, false, false, true, false, true, true,6
mockito-1.0/run.7,0.489098837,70,16,50,8,1.00,6,1000,0.10, none, declaration , false, false, false, false, false, true, false, false, false, false, false, false, true, false,6
mockito-1.0/run.8,0.489098837,70,20,50,8,1.00,7,1000,0.10, none, condition , false, false, false, false, true, true, true, false, false, false, false, false, true, false,6
mockito-1.0/run.9,0.489098837,30,20,50,8,1.00,5,600,0.10, none, condition , false, false, true, false, false, true, true, false, false, false, true, false, true, true,6
mockito-1.0/run.15,0.470489443,20,17,50,8,1.00,6,100,0.00, none, literal , true, true, false, false, true, false, true, true, false, true, false, false, true, false,7
mockito-1.0/run.4,0.469483568,110,17,50,8,1.00,6,100,0.10, none, literal , true, true, false, false, false, false, false, true, false, true, true, false, true, false,7
mockito-1.0/run.5,0.469483568,110,17,50,8,1.00,7,200,0.10, none, none , true, true, true, false, true, false, true, false, false, false, true, false, false, true,7
mockito-1.0/run.10,0.382557634,110,14,30,5,1.00,7,1000,0.10, none, expression , false, true, true, true, true, false, true, true, false, true, false, false, true, true,5
mockito-1.1/run.0,0.483333333,30,20,50,8,1.00,7,200,0.10, none, none , false, false, true, false, false, true, false, false, false, false, false, false, true, true,6
mockito-1.1/run.1,0.483333333,20,20,50,8,1.00,5,400,0.00, none, literal , false, false, false, false, true, false, true, false, false, false, true, false, true, true,6
mockito-1.1/run.10,0.483333333,80,16,50,8,1.00,6,600,0.10, none, none , false, false, false, false, true, true, true, false, false, false, true, false, true, true,6
mockito-1.1/run.11,0.483333333,80,20,50,8,1.00,6,1000,0.10, none, literal , false, false, false, false, true, false, true, false, false, false, false, false, true, true,6
mockito-1.1/run.12,0.483333333,80,19,50,8,1.00,7,200,0.00, none, literal , false, false, true, false, false, true, false, false, false, false, false, false, true, true,6
mockito-1.1/run.13,0.483333333,70,18,50,8,1.00,7,100,0.10, none, literal , false, false, false, false, true, true, true, false, false, false, false, false, true, false,6
mockito-1.1/run.14,0.483333333,80,19,50,8,1.00,6,400,0.00, none, literal , false, false, true, false, true, true, false, false, false, false, false, false, true, false,6
mockito-1.1/run.16,0.483333333,80,16,50,8,1.00,5,100,0.00, none, literal , false, false, true, false, true, false, false, true, false, false, false, false, true, false,6
mockito-1.1/run.17,0.483333333,80,20,50,8,1.00,6,800,0.10, none, none , false, false, true, false, true, false, true, true, false, false, false, false, true, true,6
mockito-1.1/run.19,0.483333333,80,16,50,8,1.00,6,200,0.10, none, none , false, false, false, false, true, true, false, false, false, false, false, false, true, false,6
mockito-1.1/run.2,0.483333333,50,20,50,8,1.00,5,800,0.10, none, condition , false, false, false, false, true, true, false, true, false, false, false, false, true, true,6
mockito-1.1/run.3,0.483333333,110,20,50,8,1.00,7,400,0.10, none, condition , false, false, true, false, false, false, true, true, false, false, false, false, true, true,6
mockito-1.1/run.4,0.483333333,110,20,50,8,1.00,6,800,0.10, none, literal , false, false, true, false, true, false, true, false, false, false, false, false, true, false,6
mockito-1.1/run.5,0.483333333,80,17,50,8,1.00,7,400,0.10, none, declaration , false, false, true, false, false, false, false, true, false, false, true, false, true, true,6
mockito-1.1/run.6,0.483333333,80,18,50,8,1.00,5,400,0.10, none, none , false, false, true, false, true, true, false, false, false, false, true, false, true, true,6
mockito-1.1/run.8,0.483333333,80,18,50,8,1.00,6,200,0.10, none, none , false, false, true, false, true, true, false, true, false, false, false, false, true, true,6
mockito-1.1/run.9,0.483333333,80,18,50,8,1.00,6,600,0.10, none, literal , false, false, false, false, false, true, false, true, false, false, false, false, true, true,6
mockito-1.1/run.18,0.462605833,20,17,50,8,1.00,7,1000,0.00, none, literal , true, true, true, false, true, true, false, true, false, false, false, true, false, false,7
mockito-1.1/run.7,0.462605833,20,17,50,8,1.00,5,1000,0.10, none, literal , true, true, false, false, true, true, false, true, false, false, false, true, false, true,7
mockito-1.1/run.15,0.412670503,110,10,50, inf,0.95,5,400,0.30, blind, expression , false, true, false, true, true, true, false, true, false, true, true, true, false, false,5
mockito-1.2/run.0,0.483002833,70,20,50,8,1.00,5,400,0.00, none, literal , false, false, true, false, false, true, false, true, false, false, true, false, true, false,6
mockito-1.2/run.1,0.483002833,80,17,50,8,1.00,7,600,0.10, none, declaration , false, false, false, false, false, true, true, true, false, false, false, false, true, false,6
mockito-1.2/run.10,0.483002833,110,20,50,8,1.00,5,800,0.10, none, declaration , false, false, false, false, false, true, true, false, false, false, true, false, true, true,6
mockito-1.2/run.11,0.483002833,70,20,50,8,1.00,5,100,0.00, none, literal , false, false, false, false, false, true, false, false, false, false, true, false, true, false,6
mockito-1.2/run.12,0.483002833,70,17,50,8,1.00,5,800,0.10, none, none , false, false, false, false, false, false, true, true, false, false, false, false, true, true,6
